iteration, place_name, distance, dijkstra_steps, dijkstra_weight, a_star_steps, a_star_weight
0,Turin, Piedmont, Italy,363.575937691581,3822,345.8581083996806,151,349.2726826005872
1,Turin, Piedmont, Italy,259.7778889264254,3431,293.4534683896908,467,293.4534683896908
2,Turin, Piedmont, Italy,410.7614933341848,7054,435.3470610934347,357,435.3470610934347
3,Turin, Piedmont, Italy,667.9277648602821,7426,708.9050938403979,349,709.3961794177599
4,Turin, Piedmont, Italy,452.9381623570615,7077,723.9541999397525,796,723.9541999397525
5,Turin, Piedmont, Italy,206.44893921775687,1382,238.69259615101012,204,238.69259615101012
6,Turin, Piedmont, Italy,549.7323131701853,8760,628.9262746156644,523,648.988082211689
7,Turin, Piedmont, Italy,709.0008371686185,11089,765.72560121813,3246,787.0621803394379
8,Turin, Piedmont, Italy,579.2373487118432,10855,596.0960545446726,395,596.0960545446726
9,Turin, Piedmont, Italy,435.9021703841429,6654,532.1997642469415,1185,532.2251186807498
iteration, place_name, distance, dijkstra_steps, dijkstra_weight, a_star_steps, a_star_weight
0,Turin, Piedmont, Italy,179.97788006339812,1863,200.2401855893329,201,200.2401855893329
1,Turin, Piedmont, Italy,490.96170153230787,2178,488.45848335109656,220,488.45848335109656
2,Turin, Piedmont, Italy,224.10428671472334,3518,335.5388199041939,699,335.5388199041939
3,Turin, Piedmont, Italy,413.4008422604745,4393,472.6072511328769,236,472.6072511328769
4,Turin, Piedmont, Italy,219.0370135986758,1600,247.02592934918135,93,247.02592934918135
iteration, place_name, distance, dijkstra_steps, dijkstra_weight, a_star_steps, a_star_weight
0,Turin, Piedmont, Italy,702.9878185508456,7128,694.9148827254212,356,702.9374618062543
1,Turin, Piedmont, Italy,418.8268308647138,3452,415.95720328420055,205,415.95720328420055
2,Turin, Piedmont, Italy,142.91155835291102,887,171.89393889706517,141,171.89393889706517
3,Turin, Piedmont, Italy,641.1421967685345,4071,605.9216750078325,205,626.0593840134763
4,Turin, Piedmont, Italy,696.5791276631122,10814,659.9342358796177,849,675.220682699131
5,Turin, Piedmont, Italy,212.90765461339868,2799,247.0337158366384,386,257.1021972960034
6,Turin, Piedmont, Italy,524.1761568490972,9096,483.69361973630913,141,483.69361973630913
7,Turin, Piedmont, Italy,321.61522686499256,5479,367.3856545057105,331,367.3856545057105
8,Turin, Piedmont, Italy,6.878185851209358,51,55.38780718145732,14,55.38780718145732
9,Turin, Piedmont, Italy,113.57169565143471,1522,388.145296951038,278,388.145296951038
iteration, place_name, distance, dijkstra_steps, dijkstra_weight, a_star_steps, a_star_weight
0,Turin, Piedmont, Italy,927.9902571656388,11174,867.7559344425284,429,874.5107297132419
1,Turin, Piedmont, Italy,615.8825452186335,4923,589.1120032643928,443,589.1120032643928
2,Turin, Piedmont, Italy,366.0861158061915,6052,402.0265215070811,621,410.92025831569936
3,Turin, Piedmont, Italy,558.5561505661194,9384,584.310676571322,1909,603.7862164645718
4,Turin, Piedmont, Italy,537.6815165472889,5482,452.6022104274538,61,453.07177932085455
5,Turin, Piedmont, Italy,384.12591188174713,5714,419.516790091834,801,419.516790091834
6,Turin, Piedmont, Italy,536.5587213172597,10339,640.8481416452571,2626,640.8481416452571
7,Turin, Piedmont, Italy,573.059073012786,7559,705.1476939720727,1395,705.1476939720727
8,Turin, Piedmont, Italy,302.5266252666017,5730,348.6330912948837,483,351.5822371653741
9,Turin, Piedmont, Italy,446.81225646819706,4383,502.8393649988405,714,511.6933871048489
